account,date,daily_pnl,num_trades,avg_trade_size_usd,avg_trade_size_tokens,avg_fee,win_rate,long_ratio,timestamp,value,sentiment,activity_segment,pnl_std,consistency_segment
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-08,0.0,1,0.12,7655.26437,0.0,0.0,0.0,1725773400,29,Fear,Infrequent,0.0,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-08,0.0,1,0.68,5356.19957,0.0,0.0,0.0,1728365400,49,Neutral,Infrequent,0.0,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-11-09,0.0,1,0.54,35870.82982,0.0,0.0,0.0,1731130200,75,Extreme Greed,Infrequent,0.0,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-11-10,0.0,1,0.73,4512.64906,0.0,0.0,0.0,1731216600,78,Extreme Greed,Infrequent,0.0,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-12-08,0.0,1,0.61,3054.266604,0.0,0.0,0.0,1733635800,79,Extreme Greed,Infrequent,0.0,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-01-12,197.422418,4,358.71500000000003,37.5,0.26578693999999997,0.5,0.0,1705037400,71,Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-03-12,30.727222,42,330.0188095238095,416.5533333333333,2.2336630299999998,0.023809523809523808,0.0,1710221400,81,Extreme Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-04-12,910.584797,102,795.8152941176471,2090.8368627450977,21.44827514,0.13725490196078433,0.0,1712899800,79,Extreme Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-05-12,3174.023699,290,587.6594137931035,204.54506896551723,48.58217003,0.36551724137931035,0.0,1715491800,56,Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-06-12,514.886454,108,1009.2267592592593,182.41962962962964,22.34087872,0.2962962962962963,0.0,1718170200,72,Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-07-12,1040.616939,180,580.1653888888889,7079.482244444444,30.76567825,0.35,0.0,1720762200,25,Fear,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-08-12,227.072158,69,423.3769565217391,4883.850724637681,8.07278965,0.36231884057971014,0.0,1723440600,25,Fear,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-09-12,311.290605,55,399.53854545454544,1435.6236363636363,5.26450568,0.34545454545454546,0.0,1726119000,31,Fear,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-12,1474.670598,182,512.06510989011,839.0279735164836,22.51617703,0.36813186813186816,0.0,1728711000,49,Neutral,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-11-12,1157.689489,325,307.6034769230769,243.03382830769232,26.5157439,0.3353846153846154,0.0,1731389400,80,Extreme Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-12,574.398074,159,458.38842767295597,1899.3781441509436,22.0703145,0.2893081761006289,0.0,1733981400,83,Extreme Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-01,17.784696,16,632.90125,123.2695375,2.4354733299999998,0.1875,0.0,1735709400,66,Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-02,526.448209,33,490.5812121212121,470.0766581818181,4.45882435,0.696969696969697,0.0,1735795800,70,Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-03,109.593094,27,617.1918518518519,257.22104,4.519368,0.4444444444444444,0.0,1735882200,74,Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-04,-680.287463,19,247.43947368421055,644.4147842105264,1.579629,0.3157894736842105,0.0,1735968600,73,Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-05,37.385304,7,299.0128571428572,947.1585714285713,0.703274,0.14285714285714285,0.0,1736055000,72,Greed,Infrequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-01,677.276764,90,548.5241111111111,147.7093318888889,12.32442837,0.4777777777777778,0.0,1738387800,68,Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-02,-782.6517170000001,108,475.55675925925925,192.48390333333333,9.80744787,0.25,0.0,1738474200,60,Greed,Frequent,797.8371369761032,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-03,349.12092600000005,21,1106.6938095238095,86.46293523809524,4.79176368,0.38095238095238093,0.0,1738560600,44,Fear,Infrequent,797.8371369761032,Consistent
